,price,locali,superficie,bagni,piano
656,380000,5,140.0,2,1.0
657,840000,5,250.0,3,0.0
658,1590000,5,200.0,2,5.0
659,1250000,4,125.0,2,3.0
660,780000,4,155.0,2,2.0
661,590000,4,140.0,2,1.0
662,595000,3,95.0,2,1.0
663,290000,4,144.0,1,0.0
664,200000,3,110.0,2,3.0
665,249000,4,120.0,1,0.0
666,120000,2,60.0,1,0.0
667,650000,5,206.0,3,4.0
668,1090000,5,254.0,3,6.0
669,950000,5,160.0,2,0.0
670,125000,2,55.0,1,2.0
671,950000,4,172.0,3,2.0
672,590000,5,137.0,3,1.0
673,219000,4,70.0,1,3.0
674,169000,1,55.0,1,4.0
675,155000,3,75.0,1,1.0
676,290000,4,99.0,1,1.0
677,219000,2,60.0,1,1.0
678,160000,2,58.0,1,1.0
679,218000,4,102.0,2,3.0
680,155000,1,25.0,1,0.5
681,498000,3,85.0,1,2.0
682,379000,4,110.0,1,4.0
683,415000,3,70.0,1,4.0
684,750000,5,199.0,2,4.0
685,1295000,5,288.0,3,2.0
686,249000,4,115.0,2,2.0
687,780000,5,155.0,3,1.0
688,1280000,4,120.0,2,3.0
689,690000,2,70.0,1,1.0
690,335000,2,70.0,1,2.0
691,440000,5,120.0,2,2.0
692,395000,3,95.0,1,2.0
693,99500,1,45.0,1,0.0
694,1250000,5,220.0,3,2.0
695,149000,1,49.0,1,2.0
696,298000,3,85.0,2,0.0
697,880000,4,145.0,2,1.0
698,590000,5,164.0,2,2.0
699,740000,2,90.0,1,2.0
700,390000,2,40.0,1,1.0
701,239000,3,75.0,1,0.0
702,785000,5,100.0,2,0.0
703,235900,3,81.0,1,1.0
704,600000,3,77.0,2,2.0
705,330000,2,50.0,1,0.0
706,275000,4,99.0,2,5.0
707,525000,5,170.0,2,5.0
708,420000,3,90.0,2,5.0
709,219000,2,61.0,1,3.0
710,480000,5,135.0,2,3.0
711,1150000,4,115.0,2,2.0
712,488000,3,130.0,2,6.0
713,420000,3,90.0,2,2.0
714,759000,5,160.0,3,5.0
715,275000,3,82.0,1,5.0
716,479000,4,110.0,2,4.0
717,750000,5,154.0,3,2.0
718,260000,2,50.0,1,0.0
719,670000,5,180.0,2,4.0
720,480000,3,90.0,2,0.0
721,250000,4,112.0,1,5.0
722,740000,5,130.0,1,1.0
723,630000,4,151.0,1,5.0
724,519000,4,140.0,3,2.0
725,164000,2,60.0,1,1.0
726,1000000,3,88.0,2,4.0
727,157000,2,45.0,1,0.0
728,459000,4,147.0,2,3.0
729,749000,5,190.0,3,2.0
730,159000,2,45.0,1,1.0
731,870000,5,200.0,2,0.5
732,280000,4,120.0,2,4.0
733,230000,4,100.0,1,3.0
734,190000,2,67.0,1,6.0
735,180000,2,50.0,1,1.0
736,440000,5,110.0,1,2.0
737,239000,3,70.0,1,6.0
738,249000,3,100.0,1,0.5
739,380000,5,140.0,2,0.0
740,350000,3,100.0,1,1.0
741,260000,4,111.0,1,3.0
742,600000,3,120.0,1,4.0
743,230000,3,78.0,1,4.0
744,920000,4,204.0,1,5.0
745,799000,5,135.0,2,4.0
746,950000,5,190.0,2,4.0
747,550000,5,155.0,2,2.0
748,450000,5,127.0,2,2.0
749,395000,2,75.0,1,6.0
750,225000,4,100.0,2,4.0
751,1200000,4,170.0,2,3.0
752,950000,5,220.0,3,2.0
753,630000,4,160.0,2,2.0
754,295000,3,79.0,1,4.0
755,558000,3,93.0,2,3.0
756,189000,3,80.0,2,0.0
757,565000,3,90.0,2,4.0
758,155000,3,60.0,1,0.0
759,195000,3,87.0,1,1.0
760,165000,3,75.0,1,1.0
761,1150000,5,270.0,3,4.0
762,359000,3,138.0,2,0.5
763,129000,3,115.0,2,1.0
764,229000,2,67.0,1,1.0
765,239000,2,80.0,1,0.0
766,176000,2,42.0,2,1.0
767,1090000,4,140.0,2,2.0
768,273000,3,71.0,1,0.0
769,150000,3,70.0,2,3.0
770,135000,2,62.0,1,3.0
771,248000,4,90.0,2,0.0
772,179000,3,75.0,1,1.0
773,439000,4,140.0,2,2.0
774,410000,4,124.0,2,6.0
775,233000,2,53.0,1,0.0
776,695000,4,136.0,2,1.0
777,365000,3,90.0,2,3.0
778,335000,2,58.0,1,0.5
779,166000,2,76.0,1,2.0
780,860000,5,200.0,3,2.0
781,365000,4,134.0,2,4.0
782,270000,3,121.0,1,4.0
783,485000,5,140.0,2,1.0
784,375000,4,116.0,2,0.0
785,238000,2,60.0,1,1.0
786,348000,4,175.0,3,1.0
787,249000,4,105.0,1,1.0
788,371000,2,60.0,1,1.0
789,450000,5,150.0,2,1.0
790,1750000,5,1.8,2,-1.0
791,590000,5,170.0,2,2.0
792,249000,4,120.0,2,6.0
793,265000,4,126.0,1,3.0
794,185000,2,80.0,1,1.0
795,280000,3,88.0,1,1.0
796,590000,5,160.0,3,2.0
797,1330000,5,216.0,3,5.0
798,569000,5,200.0,2,0.0
799,380000,3,74.0,1,0.0
800,155000,3,90.0,2,1.0
801,125000,2,40.0,1,0.0
802,490000,5,160.0,2,5.0
803,169000,2,72.0,1,0.0
804,350000,4,93.0,1,-1.0
805,280000,3,80.0,2,0.0
806,225000,2,72.0,1,6.0
